All entries:
header		length	d_nat_sub	d_nat_tend	d_nat_tend_rev	d_sub_tend	d_sub_tend_rev
PDB_00004	41		5.86		5.00		5.00			1.06		1.06
PDB_00030	120		59.32		39.71		58.62			57.40		14.67
PDB_00032	43		4.03		4.02		4.18			0.74		0.95
PDB_00033	43		4.03		4.02		4.18			0.74		0.95
PDB_00045	76		29.20		24.99		24.74			10.07		10.38
PDB_00052	76		29.20		24.99		24.74			10.07		10.38
PDB_00070	76		16.41		16.01		23.90			1.05		12.98
PDB_00095	75		23.47		16.14		15.68			17.41		17.84
PDB_00136	70		10.67		10.85		12.00			3.15		2.34
PDB_00158	42		7.92		8.00		8.00			0.08		0.08
PDB_00183	55		4.56		36.13		5.47			31.69		1.08
PDB_00185	77		9.63		6.15		12.72			4.90		8.73
PDB_00186	77		10.96		7.15		13.74			4.90		8.73
PDB_00213	101		6.21		5.00		5.38			1.21		1.47
PDB_00222	76		28.20		23.99		23.74			10.07		10.38
PDB_00223	76		29.20		24.99		24.74			10.07		10.38
PDB_00229	75		5.21		2.03		26.00			3.24		26.10
PDB_00244	73		22.32		22.24		22.48			2.69		2.67
PDB_00259	72		24.32		24.25		24.48			2.67		2.67
PDB_00279	76		28.20		23.99		23.74			10.07		10.38
PDB_00280	76		28.20		23.99		23.74			10.07		10.38
PDB_00281	76		28.20		23.99		23.74			10.07		10.38
PDB_00313	74		17.14		16.27		16.17			5.11		5.20
PDB_00343	57		18.17		28.58		11.87			18.10		10.22
PDB_00347	49		4.73		4.00		4.30			0.73		0.95
PDB_00362	76		2.50		3.00		3.14			1.34		1.52
PDB_00373	72		12.16		14.02		10.95			3.91		4.96
PDB_00374	73		12.16		14.02		10.95			3.91		4.96
PDB_00376	73		13.96		14.00		14.00			4.31		4.31
PDB_00392	76		17.62		13.54		15.01			4.95		5.74
PDB_00393	73		15.71		14.54		13.96			2.21		1.87
PDB_00394	57		18.17		28.58		11.87			18.10		10.22
PDB_00402	75		35.09		30.99		38.37			33.02		44.04
PDB_00425	74		9.06		4.94		4.94			6.92		6.92
PDB_00426	74		8.06		3.94		3.94			6.92		6.92
PDB_00430	81		13.74		12.39		16.30			2.35		13.55
PDB_00431	67		10.54		10.05		10.04			2.63		2.57
PDB_00432	67		10.54		10.05		10.04			2.63		2.57
PDB_00439	49		4.73		4.00		4.30			0.73		0.95
PDB_00474	74		25.72		4.94		18.06			25.59		28.71
PDB_00522	48		15.00		15.00		15.00			0.00		0.00
PDB_00535	57		17.17		27.58		10.87			18.10		10.22
PDB_00542	126		36.26		43.67		40.00			21.77		14.75
PDB_00547	97		23.81		9.30		29.59			19.56		39.30
PDB_00565	128		37.18		37.14		37.00			20.76		20.45
PDB_00584	55		19.61		21.86		18.46			22.15		15.05
PDB_00620	74		9.06		4.94		4.94			6.92		6.92
PDB_00621	74		9.06		4.94		4.94			6.92		6.92
PDB_00627	58		10.87		11.09		11.01			0.62		0.53
PDB_00667	76		13.57		12.56		12.57			3.63		3.84
PDB_00669	74		9.06		4.94		4.94			6.92		6.92
PDB_00670	74		8.06		3.94		3.94			6.92		6.92
PDB_00671	74		7.06		2.94		2.94			6.92		6.92
PDB_00672	74		10.06		5.94		5.94			6.92		6.92
PDB_00673	75		35.09		30.99		38.37			33.02		44.04
PDB_00674	75		35.09		30.99		38.37			33.02		44.04
PDB_00693	49		3.01		2.00		2.38			1.01		1.35
PDB_00742	74		10.73		12.08		12.00			3.35		3.21
PDB_00748	101		6.21		5.00		5.38			1.21		1.47
PDB_00750	155		24.67		34.11		53.86			26.86		49.66
PDB_00810	47		8.61		3.62		3.62			5.99		5.99
PDB_00876	45		1.92		32.92		1.00			31.90		0.92
PDB_00879	101		16.15		12.01		52.40			5.63		45.13
PDB_00885	41		2.01		1.00		1.00			1.01		1.01
PDB_00901	74		9.06		4.94		4.94			6.92		6.92
