header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
16s_Z.mays_domain4,51.99,18.58,68.02,39.72
16s_H.volcanii_domain4,10.11,4.15,17.13,5.45
16s_H.sapiens.mito_domain4,-12.47,10.66,11.48,8.03
16s_C.elegans_domain4,-17.37,20.03,20.00,22.71
16s_C.elegans_domain1,-36.70,38.54,37.32,41.59
16s_H.volcanii_domain1,-39.31,96.40,205.39,44.51
16s_H.sapiens.mito_domain2,-43.88,46.28,49.90,45.05
16s_B.burgdorferi_domain4,-44.19,37.43,34.26,33.85
16s_B.subtilis_domain4,-48.75,47.86,65.31,29.52
16s_C.reinhardtii.chloro_domain4,-57.81,45.46,57.59,21.00
16s_B.subtilis_domain2,-58.84,84.93,123.99,71.96
16s_C.elegans_domain2,-68.13,47.00,32.33,40.53
16s_C.reinhardtii.mito_domain4,-80.22,64.21,53.40,59.01
16s_C.psittaci_domain2,-83.64,80.25,96.23,60.88
16s_C.reinhardtii.mito_domain1,-101.55,124.92,148.83,124.38
16s_C.elegans_domain3,-112.46,71.33,63.20,38.32
16s_C.reinhardtii.mito_domain2,-130.61,94.83,74.26,79.61
16s_C.reinhardtii.chloro_domain2,-140.74,116.73,128.22,81.24
16s_H.sapiens.mito_domain3,-151.22,136.99,136.48,123.26
16s_A.fulgidus_domain4,-155.86,71.02,50.36,6.84
16s_E.coli_domain2,-156.82,133.70,120.99,123.29
16s_C.psittaci_domain4,-163.24,72.25,36.23,17.27
16s_E.coli_domain4,-170.41,82.03,53.33,22.36
16s_P.occultum_domain2,-177.76,145.16,158.32,99.39
16s_A.fulgidus_domain3,-177.82,192.51,240.87,158.85
16s_P.occultum_domain4,-177.90,87.90,73.10,12.71
16s_C.reinhardtii.mito_domain3,-180.59,187.68,185.89,196.58
16s_B.burgdorferi_domain2,-198.17,145.42,182.29,55.79
16s_B.burgdorferi_domain3,-214.87,188.71,185.01,166.24
16s_Z.mays_domain3,-221.75,217.44,242.05,188.53
16s_Z.mays_domain2,-222.81,142.20,156.72,47.08
16s_P.occultum_domain3,-224.31,190.76,200.31,147.67
16s_H.sapiens.mito_domain1,-224.65,113.55,58.24,57.76
16s_C.reinhardtii.chloro_domain3,-227.68,208.71,215.71,182.73
16s_C.psittaci_domain1,-231.28,198.18,225.51,137.75
16s_H.volcanii_domain2,-249.95,137.77,135.07,28.31
16s_H.volcanii_domain3,-258.17,192.75,173.99,146.09
16s_E.coli_domain3,-259.43,199.45,184.45,154.46
16s_Z.mays_domain1,-268.84,192.13,192.42,115.12
16s_A.fulgidus_domain2,-280.42,159.42,129.34,68.50
16s_B.subtilis_domain1,-292.59,203.23,213.72,103.37
16s_B.subtilis_domain3,-321.12,218.27,195.40,138.29
16s_A.fulgidus_domain1,-352.48,213.67,197.76,90.76
16s_E.coli_domain1,-356.08,216.40,164.23,128.90
16s_C.psittaci_domain3,-363.69,230.70,199.63,128.78
16s_B.burgdorferi_domain1,-376.61,200.23,133.69,90.39
16s_C.reinhardtii.chloro_domain1,-401.34,241.62,192.41,131.10
16s_P.occultum_domain1,-418.83,248.24,223.07,102.82
